Fishpicable|Slippery|D|Thunder|Lv. 27 > Rageon|Meat
Flengu|Mysterious|S|Fire|---|Candy
Flumpy|Eerie|C|Flumpy|---|Bread
Frostail|Mysterious|S|Ice|---|Seafood
Frostina|Charming|B|Ice|+Glacial Clip > Blizzaria|Candy
Gilgaros|Tough|S|Thunder|---|Meat
Gleam|Brave|S|Thunder|---|Seafood
Goldenyan|Tough|S|Thunder|---|Seafood
Goruma|Tough|B|Wind|---|Bread
Grainpa|Heartful|B|Restoration|---|Rice Ball
Greesel|Shady|S|Fire|---|Meat
Grubsnitch|Heartful|D|Earth|---|Ramen
Grumples|Eerie|B|Absorption|+Ageless Powder > Everfore|Milk
Gush|Eerie|D|Fire|---|Juice
Happierre|Heartful|C|Restoration|+Dismarelda > Reversa|Bread
Heheheel|Slippery|D|Restoration|---|Meat
Helmsman|Brave|D|Thunder|+Armsman > Reuknight|Vegetables
Hidabat|Shady|D|Wind|+Tengloom > Abodabat|Meat
Hornaplenty|Tough|S|Earth|---|Vegetables
Hungorge|Heartful|B|Absorption|---|Rice Ball
Hungramps|Heartful|E|Restoration|Lv. 22 > Hungorge|Rice Ball
Hurchin|Eerie|D|Ice|---|Bread
Illoo|Mysterious|C|Water|---|Chinese Food
Impass|Tough|A|Earth|---|Ramen
Infour|Mysterious|B|Absorption|---|Vegetables
Insomni|Eerie|A|Ice|---|Candy
Jibanyan|Charming|D|Fire|+Coughkoff > Thornyan,+Roughraff > Baddinyan|Seafood
Kapunki|Brave|A|Fire|---|Rice Ball
Komajiro|Charming|D|Thunder|Lv. 33 > Komiger|Milk
Komane|Charming|A|Fire|---|Milk
Komasan|Charming|D|Fire|Lv. 35 > Komane|Milk
Komashura|Mysterious|S|Fire|---|Milk
Komiger|Charming|A|Thunder|---|Milk
Kyubi|Mysterious|S|Fire|---|Seafood
Lafalotta|Mysterious|D|Absorption|---|Hamburger
Lamedian|Eerie|A|Absorption|---|Chinese Food
Lava Lord|Tough|B|Thunder|---|Rice Ball
Leadoni|Shady|E|Ice|---|Candy
Ledballoon|Tough|C|Water|---|Milk
Lodo|Heartful|D|Wind|---|Milk
Mad Mountain|Tough|C|Ice|---|Rice Ball
Mama Aura|Heartful|A|Restoration|---|Vegetables
Manjimutt|Eerie|E|Fire|+Manjimutt > Multimutt|Chinese Food
Minochi|Brave|D|Fire|---|Rice Ball
Mirapo|Mysterious|C|Absorption|---|Chinese Food
Mircle|Mysterious|A|Absorption|---|Chinese Food
Mochismo|Brave|D|Earth|---|Rice Ball
Moskevil|Shady|C|Absorption|---|Juice
Multimutt|Eerie|B|Fire|---|Chinese Food
Mynimo|Shady|D|Absorption|---|Candy
N'more|Mysterious|C|Recovery|---|Hamburger
Nagatha|Eerie|D|Absorption|---|Bread
Negasus|Shady|A|Wind|---|Vegetables
Negatibuzz|Shady|E|Absorption|Lv. 17 > Moskevil|Juice
Neighfarious|Shady|A|Absorption|---|Vegetables
Nird|Shady|B|Wind|---|Vegetables
Noko|Slippery|E|Earth|+Drop of Joy > Bloominoko|Hamburger
Noway|Tough|E|Earth|Lv. 29 > Impass|Ramen
Nul|Shady|A|Wind|---|Rice Ball
Ol' Fortune|Heartful|B|Thunder|---|Milk
Ol' Saint Trick|Heartful|B|Restoration|---|Milk
Pandanoko|Slippery|A|Ice|---|Hamburger
Pandle|Brave|E|Fire|Lv. 18 > Undy|Rice Ball
Papa Bolt|Heartful|A|Thunder|---|Meat
Payn|Shady|C|Earth|---|Candy
Peckpocket|Eerie|E|Absorption|---|Hamburger
Peppillon|Heartful|S|Restoration|---|Juice
Pinkipoo|Charming|B|Restoration|---|Hamburger
Pookivil|Charming|A|Absorption|---|Hamburger
Pupsicle|Charming|E|Ice|+Snowstorm Cloak > Chilhuahua|Ramen
Q'wit|Mysterious|C|Earth|---|Hamburger
Quaken|Brave|B|Earth|---|Meat
Rageon|Slippery|B|Thunder|---|Meat
Rattelle|Charming|C|Fire|---|Hamburger
Reuknight|Brave|A|Thunder|---|Vegetables
Reversa|Heartful|A|Restoration|---|Bread
Reversette|Heartful|A|Wind|---|Bread
Rhinoggin|Tough|B|Earth|+Unbeatable Soul > Rhinormous|Vegetables
Rhinormous|Tough|S|Earth|---|Vegetables
Rhyth|Heartful|D|Restoration|---|Ramen
Robonyan|Tough|A|Ice|---|Seafood
Rockabelly|Eerie|D|Absorption|---|Hamburger
Rollen|Heartful|B|Water|---|Candy
Roughraff|Tough|E|Earth|Lv. 26 > Badude|Ramen
Rubinyan|Charming|A|Fire|---|Seafood
Sandi|Eerie|S|Absorption|---|Candy
Sapphinyan|Charming|A|Water|---|Seafood
Scritchy|Shady|A|Thunder|---|Juice
Shadow Venoct|Slippery|S|Restoration|---|Seafood
Sheen|Brave|A|Wind|---|Seafood
Shmoopie|Charming|C|Restoration|+Love Scepter > Pinkipoo|Hamburger
Shogunyan|Brave|S|Wind|---|Seafood
Shrook|Slippery|B|Water|---|Vegetables
Signibble|Mysterious|D|Thunder|+GHz Orb > Signiton|Rice Ball
Signiton|Mysterious|A|Thunder|---|Rice Ball
Singcada|Charming|B|Fire|---|Juice
Sir Berus|Eerie|A|Earth|---|Chinese Food
Siro|Brave|A|Thunder|---|Meat
Skelebella|Charming|B|Water|---|Hamburger
Skranny|Mysterious|B|Restoration|---|Ramen
Skreek|Eerie|A|Wind|---|Bread
Slacka-slash|Brave|B|Ice|---|Juice
Slitheref|Slippery|A|Thunder|---|Seafood
Slush|Eerie|E|Ice|Lv. 25 > Alhail|Juice
Snartle|Brave|S|Ice|---|Meat
Snee|Brave|A|Absorption|---|Seafood
Snotsolong|Mysterious|E|Water|---|Seafood
Spenp|Slippery|C|Wind|---|Bread
Statiking|Mysterious|S|Thunder|---|Rice Ball
Steppa|Heartful|E|Restoration|---|Ramen
Supyo|Charming|A|Water|---|Vegetables
Sushiyama|Brave|B|Ice|---|Rice Ball
Suspicioni|Shady|D|Water|---|Chinese Food
Swelterrier|Charming|S|Fire|---|Ramen
Swosh|Tough|S|Water|---|Vegetables
Tanbo|Brave|B|Earth|---|Rice Ball
Tantroni|Shady|D|Fire|---|Chinese Food
Tattlecast|Mysterious|B|Restoration|---|Ramen
Tattletell|Mysterious|D|Restoration|+Lafalotta > Tattlecast|Ramen
Tengloom|Shady|C|Wind|---|Vegetables
Tengu|Mysterious|S|Wind|---|Candy
Thornyan|Charming|B|Wind|---|Seafood
Timidevil|Shady|A|Fire|+Shard of Evil > Beelzebold|Ramen
Topanyan|Charming|A|Thunder|---|Seafood
Touphant|Tough|D|Water|---|Rice Ball
Tunatic|Slippery|A|Fire|---|Meat
Uncle Infinite|Heartful|S|Thunder|---|Meat
Undy|Brave|C|Fire|---|Rice Ball
Urnaconda|Slippery|C|Restoration|---|Meat
Venoct|Slippery|S|Thunder|---|Seafood
Walkappa|Charming|D|Water|Lv. 32 > Appak|Vegetables
Walldin|Tough|A|Earth|---|Ramen
Wantston|Heartful|E|Thunder|---|Ramen
Wazzat|Mysterious|E|Wind|---|Candy
Whapir|Charming|C|Absorption|---|Juice
Wiglin|Heartful|E|Restoration|---|Ramen
Zerberker|Brave|A|Fire|---|Meat
